Date,Open,High,Low,Close
04/05/2023,"33,394.60","33,543.84","33,376.27","33,482.72"
04/04/2023,"33,594.79","33,634.72","33,275.62","33,402.38"
04/03/2023,"33,245.78","33,632.90","33,245.78","33,601.15"
03/31/2023,"32,901.96","33,291.00","32,901.96","33,274.15"
03/30/2023,"32,807.43","32,905.80","32,682.87","32,859.03"
03/29/2023,"32,566.54","32,728.04","32,539.94","32,717.60"
03/28/2023,"32,434.85","32,551.01","32,295.50","32,394.25"
03/27/2023,"32,276.72","32,564.00","32,276.72","32,432.08"
03/24/2023,"32,038.22","32,257.24","31,805.18","32,237.53"
03/23/2023,"32,101.49","32,511.49","31,864.74","32,105.25"
03/22/2023,"32,570.19","32,761.89","32,020.46","32,030.11"
03/21/2023,"32,420.71","32,593.68","32,346.12","32,560.60"
03/20/2023,"31,872.33","32,280.07","31,872.33","32,244.58"
03/17/2023,"32,217.32","32,217.32","31,728.70","31,861.98"
03/16/2023,"31,827.65","32,281.61","31,571.46","32,246.55"
03/15/2023,"31,759.87","31,906.47","31,429.82","31,874.57"
03/14/2023,"32,055.29","32,306.59","31,805.40","32,155.40"
03/13/2023,"31,819.93","32,240.35","31,624.87","31,819.14"
03/10/2023,"32,185.14","32,422.10","31,783.41","31,909.64"
03/09/2023,"32,876.83","32,990.46","32,190.60","32,254.86"
03/08/2023,"32,872.08","32,903.44","32,612.70","32,798.40"
03/07/2023,"33,428.31","33,453.25","32,838.21","32,856.46"
03/06/2023,"33,425.32","33,572.22","33,383.47","33,431.44"
03/03/2023,"33,076.33","33,405.82","33,008.41","33,390.97"
03/02/2023,"32,780.97","33,083.45","32,665.85","33,003.57"
03/01/2023,"32,656.37","32,746.15","32,500.71","32,661.84"
02/28/2023,"32,873.47","32,873.47","32,636.43","32,656.70"
02/27/2023,"32,906.16","33,189.28","32,814.18","32,889.09"
02/24/2023,"32,999.19","32,999.19","32,643.48","32,816.92"
02/23/2023,"33,175.39","33,272.40","32,795.67","33,153.91"
02/22/2023,"33,169.33","33,245.97","32,948.27","33,045.09"
02/21/2023,"33,699.69","33,699.69","33,115.74","33,129.59"
02/17/2023,"33,677.01","33,846.64","33,517.73","33,826.69"
02/16/2023,"33,992.09","34,041.16","33,686.59","33,696.85"
02/15/2023,"34,008.63","34,130.49","33,833.10","34,128.05"
02/14/2023,"34,194.09","34,331.47","33,827.45","34,089.27"
02/13/2023,"33,887.39","34,249.60","33,887.39","34,245.93"
02/10/2023,"33,671.54","33,897.31","33,591.99","33,869.27"
02/09/2023,"34,105.61","34,252.57","33,607.13","33,699.88"
02/08/2023,"34,132.90","34,161.65","33,899.79","33,949.01"
02/07/2023,"33,769.78","34,240.00","33,634.10","34,156.69"
02/06/2023,"33,874.44","33,962.84","33,683.58","33,891.02"
02/03/2023,"33,926.30","34,179.58","33,813.86","33,926.01"
02/02/2023,"34,129.30","34,145.14","33,814.78","34,053.94"
02/01/2023,"34,039.60","34,334.70","33,581.42","34,092.96"
01/31/2023,"33,803.56","34,095.23","33,664.91","34,086.04"
01/30/2023,"33,909.21","34,055.29","33,695.18","33,717.09"
01/27/2023,"33,952.93","34,164.33","33,830.85","33,978.08"
01/26/2023,"33,771.66","33,953.79","33,635.60","33,949.41"
