Date,Open,High,Low,Close,Volume
20200102,8.650,8.750,8.630,8.750,5715300
20200103,8.790,8.810,8.690,8.750,6452200
20200106,8.770,8.770,8.620,8.650,4534900
20200107,8.650,8.700,8.640,8.650,6512100
20200108,8.620,8.640,8.520,8.540,4731900
20200109,8.590,8.660,8.570,8.650,6000900
20200110,8.650,8.690,8.630,8.650,8105400
20200113,8.660,8.690,8.640,8.650,6455900
20200114,8.650,8.680,8.580,8.650,6868000
20200115,8.650,8.670,8.580,8.600,3522500
20200116,8.600,8.640,8.570,8.610,6319700
20200117,8.630,8.660,8.600,8.620,5505200
20200120,8.620,8.630,8.600,8.600,3923200
20200121,8.620,8.620,8.590,8.600,3875700
20200122,8.600,8.620,8.530,8.550,5624400
20200123,8.550,8.550,8.490,8.510,5800400
20200124,8.510,8.560,8.510,8.530,2739700
20200128,8.500,8.510,8.450,8.460,12736100
20200129,8.470,8.490,8.450,8.450,9135100
20200130,8.470,8.500,8.440,8.490,6857300
20200131,8.460,8.490,8.430,8.430,16258500
20200203,8.400,8.430,8.360,8.360,7052800
20200204,8.420,8.450,8.390,8.400,10385900
20200205,8.430,8.430,8.350,8.360,9685000
20200206,8.390,8.500,8.380,8.450,6801000
20200207,8.490,8.520,8.450,8.510,9302800
20200210,8.510,8.520,8.450,8.480,5697900
20200211,8.500,8.560,8.480,8.540,10877200
20200212,8.540,8.650,8.410,8.460,15380200
20200213,8.480,8.500,8.440,8.460,7949000
20200214,8.440,8.520,8.420,8.470,6152700
20200217,8.470,8.500,8.470,8.490,3412300
20200218,8.490,8.510,8.460,8.470,7875600
20200219,8.490,8.490,8.380,8.400,7350200
20200220,8.460,8.480,8.400,8.420,6472400
20200221,8.400,8.440,8.400,8.410,5102800
20200224,8.380,8.390,8.180,8.200,31878800
20200225,8.200,8.310,8.190,8.280,9917800
20200226,8.260,8.410,8.230,8.330,13804600
20200227,8.350,8.530,8.340,8.520,10515600
20200228,8.470,8.490,8.390,8.420,21387900
20200302,8.350,8.430,8.140,8.390,19116100
20200303,8.420,8.450,8.330,8.410,13108200
20200304,8.410,8.500,8.390,8.470,12396000
20200305,8.480,8.540,8.480,8.530,12099400
20200306,8.480,8.530,8.440,8.530,6298600
20200309,8.440,8.470,8.230,8.240,16192300
20200310,8.200,8.440,8.200,8.370,18270300
20200311,8.370,8.450,8.310,8.390,11596700
20200312,8.340,8.360,8.250,8.280,16420300
20200313,8.190,8.210,7.850,7.880,50577500
20200316,7.700,7.700,7.100,7.290,45553700
20200317,7.080,7.490,7.000,7.360,28858600
20200318,7.360,7.500,7.200,7.260,23441600
